ticket_id,satisfaction_rating,cleanliness_rating,security_rating,satisfaction_level,cleanliness_level,security_level,mean_rating
2685,7.0,5.0,8.0,Medium,Low,Medium,6.67
2686,6.5,9.5,7.5,Medium,High,Medium,7.83
2687,8.0,5.0,7.0,Medium,Low,Medium,6.67
2688,4.0,8.0,9.5,Low,Medium,High,7.17
2689,6.0,4.0,8.0,Medium,Low,Medium,6.0
2690,7.67,4.0,9.0,Medium,Low,High,6.89
2691,7.5,5.5,8.5,Medium,Medium,High,7.17
2692,3.0,4.5,6.5,Low,Low,Medium,4.67
2693,8.0,6.0,7.0,Medium,Medium,Medium,7.0
2694,5.0,1.0,10.0,Low,Low,High,5.33
2695,1.0,4.5,9.0,Low,Low,High,4.83
2696,8.0,5.0,8.0,Medium,Low,Medium,7.0
2697,4.0,2.0,8.0,Low,Low,Medium,4.67
2698,7.0,5.0,8.5,Medium,Low,High,6.83
2699,6.0,6.0,8.5,Medium,Medium,High,6.83
2700,8.0,9.0,9.0,Medium,High,High,8.67
2701,1.0,6.0,7.0,Low,Medium,Medium,4.67
2702,1.0,3.0,9.0,Low,Low,High,4.33
2703,8.0,3.0,10.0,Medium,Low,High,7.0
2704,6.0,4.0,8.5,Medium,Low,High,6.17
2705,4.0,5.0,9.0,Low,Low,High,6.0
2706,6.67,4.33,4.67,Medium,Low,Low,5.22
2707,8.0,3.0,8.0,Medium,Low,Medium,6.33
2708,9.5,3.5,8.5,High,Low,High,7.17
2709,9.0,6.5,7.0,High,Medium,Medium,7.5
2710,9.5,4.5,8.5,High,Low,High,7.5
2711,8.0,8.0,7.0,Medium,Medium,Medium,7.67
2712,3.67,4.0,9.0,Low,Low,High,5.56
2713,6.5,4.0,8.0,Medium,Low,Medium,6.17
2714,4.0,6.5,8.0,Low,Medium,Medium,6.17
2715,8.0,6.0,8.0,Medium,Medium,Medium,7.33
2716,8.0,5.0,7.0,Medium,Low,Medium,6.67
2717,7.33,6.33,7.33,Medium,Medium,Medium,7.0
2718,8.5,7.0,8.0,High,Medium,Medium,7.83
2719,8.0,6.5,9.0,Medium,Medium,High,7.83
2720,8.67,5.0,9.33,High,Low,High,7.67
2721,8.0,8.0,4.5,Medium,Medium,Low,6.83
2722,4.33,8.0,8.33,Low,Medium,High,6.89
2723,5.0,3.5,9.5,Low,Low,High,6.0
2724,4.0,3.0,6.0,Low,Low,Medium,4.33
2725,6.0,3.0,7.0,Medium,Low,Medium,5.33
2726,4.33,2.33,8.0,Low,Low,Medium,4.89
2727,5.5,5.0,9.5,Medium,Low,High,6.67
2728,8.0,9.0,7.0,Medium,High,Medium,8.0
2729,5.0,6.0,9.0,Low,Medium,High,6.67
2730,1.0,1.0,8.0,Low,Low,Medium,3.33
2731,5.0,7.0,9.0,Low,Medium,High,7.0
2732,6.0,4.0,5.5,Medium,Low,Medium,5.17
2733,5.0,5.0,4.0,Low,Low,Low,4.67
2734,5.33,6.0,8.33,Medium,Medium,High,6.55
2735,8.0,7.0,7.0,Medium,Medium,Medium,7.33
2736,7.0,7.0,7.0,Medium,Medium,Medium,7.0
2737,7.67,6.0,7.33,Medium,Medium,Medium,7.0
2738,6.5,3.5,8.0,Medium,Low,Medium,6.0
2739,7.0,5.0,10.0,Medium,Low,High,7.33
2740,4.0,6.0,9.0,Low,Medium,High,6.33
2741,4.5,6.0,10.0,Low,Medium,High,6.83
2742,7.33,6.33,6.67,Medium,Medium,Medium,6.78
2743,8.0,6.0,9.0,Medium,Medium,High,7.67
2744,6.0,6.33,5.67,Medium,Medium,Medium,6.0
2745,4.0,6.0,9.0,Low,Medium,High,6.33
2746,5.67,5.67,7.67,Medium,Medium,Medium,6.34
2747,8.0,3.0,6.0,Medium,Low,Medium,5.67
2748,8.0,6.0,8.0,Medium,Medium,Medium,7.33
2749,8.0,6.0,7.0,Medium,Medium,Medium,7.0
2750,8.5,6.0,7.0,High,Medium,Medium,7.17
2751,6.33,3.33,7.33,Medium,Low,Medium,5.66
2752,5.0,6.0,9.0,Low,Medium,High,6.67
2753,8.0,6.0,10.0,Medium,Medium,High,8.0
2754,6.33,7.0,8.67,Medium,Medium,High,7.33
2755,6.0,6.5,7.0,Medium,Medium,Medium,6.5
2756,1.0,6.5,7.0,Low,Medium,Medium,4.83
2757,9.0,1.0,7.0,High,Low,Medium,5.67
2758,6.33,7.0,6.33,Medium,Medium,Medium,6.55
2759,6.5,6.0,7.5,Medium,Medium,Medium,6.67
2760,6.0,4.5,7.5,Medium,Low,Medium,6.0
2761,5.0,3.5,7.0,Low,Low,Medium,5.17
2762,5.0,4.0,6.0,Low,Low,Medium,5.0
2763,1.0,6.0,9.0,Low,Medium,High,5.33
2764,5.33,4.67,9.0,Medium,Low,High,6.33
2765,7.0,4.0,7.5,Medium,Low,Medium,6.17
2766,6.0,4.5,8.5,Medium,Low,High,6.33
2767,8.5,4.0,4.5,High,Low,Low,5.67
2768,4.0,7.0,9.0,Low,Medium,High,6.67
2769,1.0,4.0,6.0,Low,Low,Medium,3.67
2770,7.0,8.0,8.0,Medium,Medium,Medium,7.67
2771,7.0,6.0,9.0,Medium,Medium,High,7.33
2772,7.5,4.5,9.5,Medium,Low,High,7.17
2773,4.5,3.0,9.0,Low,Low,High,5.5
2774,6.0,3.67,8.67,Medium,Low,High,6.11
2775,8.0,4.0,7.0,Medium,Low,Medium,6.33
2776,5.0,4.33,9.0,Low,Low,High,6.11
2777,4.5,2.5,8.0,Low,Low,Medium,5.0
2778,8.0,3.0,9.0,Medium,Low,High,6.67
2779,7.0,4.5,7.5,Medium,Low,Medium,6.33
2780,4.0,3.0,10.0,Low,Low,High,5.67
2781,6.0,4.0,7.33,Medium,Low,Medium,5.78
2782,1.0,5.0,7.0,Low,Low,Medium,4.33
2783,6.5,4.0,8.5,Medium,Low,High,6.33
2784,6.5,6.5,7.0,Medium,Medium,Medium,6.67
2785,4.0,5.0,10.0,Low,Low,High,6.33
2786,6.0,1.0,6.0,Medium,Low,Medium,4.33
2787,7.0,6.0,5.0,Medium,Medium,Low,6.0
2788,10.0,5.0,6.0,High,Low,Medium,7.0
2789,6.0,5.5,8.5,Medium,Medium,High,6.67
2790,3.0,8.0,10.0,Low,Medium,High,7.0
2791,7.0,7.0,6.5,Medium,Medium,Medium,6.83
2792,7.0,7.0,8.0,Medium,Medium,Medium,7.33
2793,7.0,1.0,7.0,Medium,Low,Medium,5.0
2794,2.5,4.5,7.0,Low,Low,Medium,4.67
2795,3.33,5.0,7.33,Low,Low,Medium,5.22
2796,8.0,6.0,8.0,Medium,Medium,Medium,7.33
2797,8.0,3.0,8.0,Medium,Low,Medium,6.33
2798,5.67,6.67,8.67,Medium,Medium,High,7.0
2799,4.0,5.0,9.0,Low,Low,High,6.0
2800,8.0,8.0,6.0,Medium,Medium,Medium,7.33
2801,6.0,5.5,6.0,Medium,Medium,Medium,5.83
2802,4.0,9.0,9.0,Low,High,High,7.33
2803,6.5,4.5,9.5,Medium,Low,High,6.83
2804,5.0,8.0,7.0,Low,Medium,Medium,6.67
2805,5.67,5.67,6.33,Medium,Medium,Medium,5.89
2806,6.67,7.0,8.67,Medium,Medium,High,7.45
2807,8.0,5.0,10.0,Medium,Low,High,7.67
2808,7.0,4.0,9.0,Medium,Low,High,6.67
2809,3.5,5.0,8.5,Low,Low,High,5.67
2810,6.5,5.0,8.5,Medium,Low,High,6.67
2811,8.0,4.0,6.5,Medium,Low,Medium,6.17
2812,3.5,5.0,7.0,Low,Low,Medium,5.17
2813,8.0,6.0,8.0,Medium,Medium,Medium,7.33
2814,5.0,7.5,7.0,Low,Medium,Medium,6.5
2815,8.0,5.0,6.0,Medium,Low,Medium,6.33
2816,6.0,3.0,7.0,Medium,Low,Medium,5.33
2817,4.5,5.0,6.5,Low,Low,Medium,5.33
2818,4.0,3.0,9.0,Low,Low,High,5.33
2819,9.0,6.0,6.5,High,Medium,Medium,7.17
2820,3.0,5.0,8.0,Low,Low,Medium,5.33
2821,3.0,3.0,8.0,Low,Low,Medium,4.67
2822,5.67,4.33,8.67,Medium,Low,High,6.22
2823,7.5,7.5,7.0,Medium,Medium,Medium,7.33
2824,6.0,6.0,8.0,Medium,Medium,Medium,6.67
2825,5.0,5.0,9.0,Low,Low,High,6.33
2826,4.0,1.0,9.0,Low,Low,High,4.67
2827,8.0,3.0,7.0,Medium,Low,Medium,6.0
2828,6.33,6.0,8.67,Medium,Medium,High,7.0
2829,8.0,4.5,8.5,Medium,Low,High,7.0
2830,5.0,4.0,8.0,Low,Low,Medium,5.67
2831,7.0,4.0,7.0,Medium,Low,Medium,6.0
2832,8.5,7.5,8.5,High,Medium,High,8.17
2833,3.0,2.5,4.5,Low,Low,Low,3.33
2834,5.0,4.0,4.0,Low,Low,Low,4.33
2835,9.0,4.0,9.67,High,Low,High,7.56
2836,3.0,3.67,7.67,Low,Low,Medium,4.78
2837,8.0,3.0,9.0,Medium,Low,High,6.67
2838,5.0,4.0,9.0,Low,Low,High,6.0
2839,6.0,3.0,10.0,Medium,Low,High,6.33
2840,8.0,3.0,8.0,Medium,Low,Medium,6.33
2841,8.0,4.0,9.0,Medium,Low,High,7.0
2842,5.5,6.0,8.0,Medium,Medium,Medium,6.5
2843,5.67,6.0,7.0,Medium,Medium,Medium,6.22
2844,4.0,3.0,7.0,Low,Low,Medium,4.67
2845,2.0,3.0,9.0,Low,Low,High,4.67
2846,6.0,6.0,10.0,Medium,Medium,High,7.33
2847,7.0,6.0,9.0,Medium,Medium,High,7.33
2848,5.5,6.0,7.0,Medium,Medium,Medium,6.17
2849,1.0,9.0,7.0,Low,High,Medium,5.67
2850,3.5,6.0,8.0,Low,Medium,Medium,5.83
2851,6.0,5.0,6.0,Medium,Low,Medium,5.67
2852,6.33,4.33,9.0,Medium,Low,High,6.55
2853,4.5,6.0,6.5,Low,Medium,Medium,5.67
2854,8.0,5.0,9.0,Medium,Low,High,7.33
2855,4.0,2.0,7.0,Low,Low,Medium,4.33
2856,1.0,6.0,10.0,Low,Medium,High,5.67
2857,2.0,4.5,9.5,Low,Low,High,5.33
2858,8.0,6.0,8.0,Medium,Medium,Medium,7.33
2859,10.0,7.0,2.0,High,Medium,Low,6.33
2860,8.33,3.0,7.0,High,Low,Medium,6.11
2861,6.33,5.33,8.33,Medium,Medium,High,6.66
2862,3.5,5.0,7.5,Low,Low,Medium,5.33
2863,4.0,4.0,8.0,Low,Low,Medium,5.33
2864,6.0,7.0,10.0,Medium,Medium,High,7.67
2865,2.33,6.0,7.0,Low,Medium,Medium,5.11
2866,5.0,6.33,7.33,Low,Medium,Medium,6.22
2867,5.0,3.0,7.0,Low,Low,Medium,5.0
2868,4.0,4.0,7.0,Low,Low,Medium,5.0
2869,6.0,5.0,9.0,Medium,Low,High,6.67
2870,4.0,6.5,7.0,Low,Medium,Medium,5.83
2871,7.5,4.0,8.5,Medium,Low,High,6.67
2872,8.0,6.0,1.0,Medium,Medium,Low,5.0
2873,5.0,4.5,9.5,Low,Low,High,6.33
2874,4.0,4.0,7.0,Low,Low,Medium,5.0
2875,4.0,6.0,9.0,Low,Medium,High,6.33
2876,8.0,5.0,7.5,Medium,Low,Medium,6.83
2877,3.0,9.0,8.0,Low,High,Medium,6.67
2878,4.0,8.0,10.0,Low,Medium,High,7.33
2879,6.0,3.5,7.5,Medium,Low,Medium,5.67
2880,6.0,5.0,7.0,Medium,Low,Medium,6.0
2881,2.0,5.0,9.0,Low,Low,High,5.33
2882,8.0,2.0,8.0,Medium,Low,Medium,6.0
2883,3.33,8.33,7.33,Low,High,Medium,6.33
2884,5.0,3.0,10.0,Low,Low,High,6.0
2885,5.0,6.0,1.0,Low,Medium,Low,4.0
2886,7.5,6.5,7.5,Medium,Medium,Medium,7.17
2887,8.0,9.0,9.0,Medium,High,High,8.67
2888,4.0,6.0,9.0,Low,Medium,High,6.33
2889,6.33,5.33,7.33,Medium,Medium,Medium,6.33
2890,5.5,6.5,7.0,Medium,Medium,Medium,6.33
2891,9.0,6.0,9.0,High,Medium,High,8.0
2892,5.0,4.0,7.67,Low,Low,Medium,5.56
2893,2.0,2.0,10.0,Low,Low,High,4.67
2894,8.0,2.0,9.0,Medium,Low,High,6.33
2895,4.0,7.5,5.0,Low,Medium,Low,5.5
2896,8.0,3.0,9.0,Medium,Low,High,6.67
2897,7.67,4.33,7.0,Medium,Low,Medium,6.33
2898,7.0,4.5,8.0,Medium,Low,Medium,6.5
2899,4.0,6.67,7.67,Low,Medium,Medium,6.11
2900,1.0,5.0,5.0,Low,Low,Low,3.67
2901,7.0,2.0,7.0,Medium,Low,Medium,5.33
2902,8.5,7.5,7.5,High,Medium,Medium,7.83
2903,8.0,3.5,5.0,Medium,Low,Low,5.5
2904,1.0,2.0,9.0,Low,Low,High,4.0
2905,8.5,5.5,9.0,High,Medium,High,7.67
2906,6.0,10.0,6.0,Medium,High,Medium,7.33
2907,4.0,1.0,10.0,Low,Low,High,5.0
2908,8.0,5.5,8.0,Medium,Medium,Medium,7.17
2909,4.0,2.0,8.0,Low,Low,Medium,4.67
2910,8.0,8.0,6.0,Medium,Medium,Medium,7.33
2911,5.5,8.0,8.0,Medium,Medium,Medium,7.17
2912,6.0,6.0,9.0,Medium,Medium,High,7.0
2913,7.0,5.0,8.0,Medium,Low,Medium,6.67
2914,5.0,3.5,8.0,Low,Low,Medium,5.5
2915,8.0,7.0,9.0,Medium,Medium,High,8.0
2916,4.5,5.5,7.5,Low,Medium,Medium,5.83
2917,1.0,9.0,10.0,Low,High,High,6.67
2918,8.0,3.0,7.0,Medium,Low,Medium,6.0
2919,8.5,5.5,7.0,High,Medium,Medium,7.0
2920,5.0,4.5,7.5,Low,Low,Medium,5.67
2921,4.33,2.33,8.0,Low,Low,Medium,4.89
2922,1.0,3.0,1.0,Low,Low,Low,1.67
2923,8.0,8.5,8.5,Medium,High,High,8.33
2924,8.0,5.0,4.5,Medium,Low,Low,5.83
2925,8.0,4.33,9.0,Medium,Low,High,7.11
2926,8.0,5.0,5.0,Medium,Low,Low,6.0
2927,8.0,2.0,6.0,Medium,Low,Medium,5.33
2928,8.5,3.5,9.5,High,Low,High,7.17
2929,8.0,8.0,9.0,Medium,Medium,High,8.33
2930,7.0,10.0,7.0,Medium,High,Medium,8.0
2931,4.33,3.33,7.67,Low,Low,Medium,5.11
2932,8.0,9.0,7.0,Medium,High,Medium,8.0
2933,6.5,6.0,6.0,Medium,Medium,Medium,6.17
2934,6.0,6.0,7.0,Medium,Medium,Medium,6.33
2935,7.0,5.5,9.0,Medium,Medium,High,7.17
2936,8.0,6.0,10.0,Medium,Medium,High,8.0
2937,4.33,6.0,8.0,Low,Medium,Medium,6.11
2938,3.0,5.0,9.0,Low,Low,High,5.67
2939,2.0,9.0,9.0,Low,High,High,6.67
2940,8.0,6.0,6.0,Medium,Medium,Medium,6.67
2941,8.0,5.33,7.0,Medium,Medium,Medium,6.78
2942,5.0,3.0,10.0,Low,Low,High,6.0
2943,8.0,3.0,7.0,Medium,Low,Medium,6.0
2944,7.0,2.67,8.67,Medium,Low,High,6.11
2945,7.0,3.0,10.0,Medium,Low,High,6.67
2946,7.67,5.0,9.0,Medium,Low,High,7.22
2947,4.0,7.0,8.5,Low,Medium,High,6.5
2948,1.0,2.0,7.5,Low,Low,Medium,3.5
2949,8.0,8.0,8.0,Medium,Medium,Medium,8.0
2950,7.5,3.0,9.0,Medium,Low,High,6.5
2951,6.0,2.0,10.0,Medium,Low,High,6.0
2952,6.0,7.0,7.33,Medium,Medium,Medium,6.78
2953,6.0,9.33,7.0,Medium,High,Medium,7.44
2954,1.5,4.0,5.0,Low,Low,Low,3.5
2955,6.0,3.0,8.0,Medium,Low,Medium,5.67
2956,4.0,3.0,7.0,Low,Low,Medium,4.67
2957,8.0,1.0,10.0,Medium,Low,High,6.33
2958,4.5,5.5,9.0,Low,Medium,High,6.33
2959,3.5,5.0,7.0,Low,Low,Medium,5.17
2960,3.0,9.0,10.0,Low,High,High,7.33
2961,3.5,8.0,7.5,Low,Medium,Medium,6.33
2962,7.5,2.5,8.0,Medium,Low,Medium,6.0
2963,8.5,5.0,6.5,High,Low,Medium,6.67
2964,7.0,4.5,5.5,Medium,Low,Medium,5.67
2965,8.0,4.0,9.5,Medium,Low,High,7.17
2966,5.5,4.0,8.5,Medium,Low,High,6.0
2967,8.0,3.0,7.0,Medium,Low,Medium,6.0
2968,9.0,4.5,9.0,High,Low,High,7.5
2969,3.0,3.5,4.0,Low,Low,Low,3.5
2970,6.0,4.0,7.0,Medium,Low,Medium,5.67
2971,3.0,3.5,8.0,Low,Low,Medium,4.83
2972,5.5,6.0,7.0,Medium,Medium,Medium,6.17
2973,4.0,6.0,8.0,Low,Medium,Medium,6.0
2974,2.0,5.0,8.0,Low,Low,Medium,5.0
2975,6.33,4.67,9.0,Medium,Low,High,6.67
2976,5.5,4.5,4.0,Medium,Low,Low,4.67
2977,8.0,4.0,7.0,Medium,Low,Medium,6.33
2978,8.0,6.0,6.0,Medium,Medium,Medium,6.67
2979,6.33,6.0,7.33,Medium,Medium,Medium,6.55
2980,1.0,6.0,9.0,Low,Medium,High,5.33
2981,8.0,4.5,9.0,Medium,Low,High,7.17
2982,3.67,6.0,8.67,Low,Medium,High,6.11
2983,4.0,8.0,9.0,Low,Medium,High,7.0
2984,2.0,8.0,9.0,Low,Medium,High,6.33
2985,6.0,2.0,9.0,Medium,Low,High,5.67
2986,7.0,4.67,7.67,Medium,Low,Medium,6.45
2987,6.0,5.0,7.0,Medium,Low,Medium,6.0
2988,5.5,5.0,7.5,Medium,Low,Medium,6.0
2989,7.0,3.0,6.0,Medium,Low,Medium,5.33
2990,6.0,2.0,8.0,Medium,Low,Medium,5.33
2991,1.0,6.0,8.0,Low,Medium,Medium,5.0
2992,4.0,5.5,7.0,Low,Medium,Medium,5.5
2993,5.0,6.5,7.5,Low,Medium,Medium,6.33
2994,1.0,8.0,9.0,Low,Medium,High,6.0
2995,8.0,5.0,8.0,Medium,Low,Medium,7.0
2996,5.67,8.0,7.67,Medium,Medium,Medium,7.11
2997,8.0,9.0,10.0,Medium,High,High,9.0
2998,6.5,6.0,8.0,Medium,Medium,Medium,6.83
2999,6.0,6.5,4.0,Medium,Medium,Low,5.5
3000,6.5,5.5,9.0,Medium,Medium,High,7.0
3001,3.0,1.0,9.0,Low,Low,High,4.33
3002,4.5,4.0,8.0,Low,Low,Medium,5.5
3003,8.0,3.0,9.0,Medium,Low,High,6.67
3004,5.67,5.0,6.67,Medium,Low,Medium,5.78
3005,8.0,4.0,7.0,Medium,Low,Medium,6.33
3006,8.5,3.5,8.0,High,Low,Medium,6.67
3007,5.0,7.0,9.0,Low,Medium,High,7.0
3008,1.0,6.0,9.0,Low,Medium,High,5.33
3009,7.0,1.5,7.5,Medium,Low,Medium,5.33
3010,1.0,10.0,8.0,Low,High,Medium,6.33
3011,6.0,4.0,7.0,Medium,Low,Medium,5.67
3012,7.0,5.0,5.0,Medium,Low,Low,5.67
3013,5.0,6.0,9.0,Low,Medium,High,6.67
3014,3.0,2.0,5.0,Low,Low,Low,3.33
3015,4.0,3.0,6.5,Low,Low,Medium,4.5
3016,4.0,4.0,6.0,Low,Low,Medium,4.67
3017,6.0,2.0,5.0,Medium,Low,Low,4.33
3018,7.0,3.67,8.33,Medium,Low,High,6.33
3019,8.0,5.0,8.33,Medium,Low,High,7.11
3020,7.0,7.0,10.0,Medium,Medium,High,8.0
3021,6.5,7.0,6.5,Medium,Medium,Medium,6.67
3022,3.33,4.33,6.67,Low,Low,Medium,4.78
3023,8.0,2.0,8.0,Medium,Low,Medium,6.0
3024,6.0,3.0,9.0,Medium,Low,High,6.0
3025,2.0,3.0,6.0,Low,Low,Medium,3.67
3026,10.0,6.0,8.0,High,Medium,Medium,8.0
3027,7.0,5.5,8.5,Medium,Medium,High,7.0
3028,8.0,4.0,10.0,Medium,Low,High,7.33
3029,8.0,5.0,5.0,Medium,Low,Low,6.0
3030,6.0,5.5,7.0,Medium,Medium,Medium,6.17
3031,8.0,3.0,10.0,Medium,Low,High,7.0
3032,5.0,5.0,8.5,Low,Low,High,6.17
3033,8.5,6.5,7.5,High,Medium,Medium,7.5
3034,1.0,8.0,10.0,Low,Medium,High,6.33
3035,4.0,3.5,8.0,Low,Low,Medium,5.17
3036,7.0,9.0,10.0,Medium,High,High,8.67
3037,5.0,7.0,2.0,Low,Medium,Low,4.67
3038,5.0,5.33,8.0,Low,Medium,Medium,6.11
3039,1.0,6.0,10.0,Low,Medium,High,5.67
3040,5.0,6.0,8.0,Low,Medium,Medium,6.33
3041,7.0,6.0,6.0,Medium,Medium,Medium,6.33
3042,7.67,7.0,8.0,Medium,Medium,Medium,7.56
3043,7.0,3.0,9.0,Medium,Low,High,6.33
3044,2.0,5.0,6.0,Low,Low,Medium,4.33
3045,7.0,3.0,10.0,Medium,Low,High,6.67
3046,1.0,6.0,8.0,Low,Medium,Medium,5.0
3047,8.33,3.67,6.0,High,Low,Medium,6.0
3048,7.0,4.33,8.67,Medium,Low,High,6.67
3049,5.0,3.0,7.0,Low,Low,Medium,5.0
3050,4.0,6.0,5.0,Low,Medium,Low,5.0
3051,6.5,2.5,7.0,Medium,Low,Medium,5.33
3052,4.5,3.5,8.0,Low,Low,Medium,5.33
3053,1.0,2.0,10.0,Low,Low,High,4.33
3054,10.0,9.0,8.0,High,High,Medium,9.0
3055,4.0,3.0,8.0,Low,Low,Medium,5.0
3056,4.0,6.0,7.0,Low,Medium,Medium,5.67
3057,6.5,5.0,7.0,Medium,Low,Medium,6.17
3058,8.0,6.0,6.0,Medium,Medium,Medium,6.67
3059,9.0,2.0,9.5,High,Low,High,6.83
3060,4.0,4.5,8.0,Low,Low,Medium,5.5
3061,6.5,5.0,6.5,Medium,Low,Medium,6.0
3062,5.0,9.0,7.0,Low,High,Medium,7.0
3063,4.0,6.0,8.5,Low,Medium,High,6.17
3064,5.5,3.0,9.0,Medium,Low,High,5.83
3065,5.0,8.0,9.0,Low,Medium,High,7.33
3066,7.0,3.0,9.0,Medium,Low,High,6.33
3067,1.0,10.0,8.0,Low,High,Medium,6.33
3068,8.0,3.0,7.0,Medium,Low,Medium,6.0
3069,4.0,4.5,4.5,Low,Low,Low,4.33
3070,1.0,2.5,8.5,Low,Low,High,4.0
3071,2.0,2.0,6.0,Low,Low,Medium,3.33
3072,3.0,3.0,8.0,Low,Low,Medium,4.67
3073,7.0,4.0,6.0,Medium,Low,Medium,5.67
3074,8.0,3.0,8.0,Medium,Low,Medium,6.33
3075,3.0,3.0,8.5,Low,Low,High,4.83
3076,5.67,6.33,8.33,Medium,Medium,High,6.78
3077,6.0,8.0,8.0,Medium,Medium,Medium,7.33
3078,7.0,6.0,8.0,Medium,Medium,Medium,7.0
3079,8.0,5.0,10.0,Medium,Low,High,7.67
3080,7.0,7.0,8.0,Medium,Medium,Medium,7.33
3081,8.0,4.0,9.0,Medium,Low,High,7.0
3082,6.33,4.33,8.0,Medium,Low,Medium,6.22
3083,8.0,3.5,7.5,Medium,Low,Medium,6.33
3084,2.0,5.0,10.0,Low,Low,High,5.67
3085,2.5,3.5,9.5,Low,Low,High,5.17
3086,3.0,5.0,8.5,Low,Low,High,5.5
3087,4.33,4.67,6.33,Low,Low,Medium,5.11
3088,1.0,8.0,9.0,Low,Medium,High,6.0
3089,5.0,5.5,7.0,Low,Medium,Medium,5.83
3090,4.67,6.33,7.0,Low,Medium,Medium,6.0
3091,6.0,4.0,7.5,Medium,Low,Medium,5.83
3092,7.0,7.0,9.0,Medium,Medium,High,7.67
3093,3.5,4.5,8.5,Low,Low,High,5.5
3094,1.0,3.0,7.0,Low,Low,Medium,3.67
3095,8.0,4.0,8.5,Medium,Low,High,6.83
3096,6.5,5.5,5.0,Medium,Medium,Low,5.67
3097,6.0,6.0,6.5,Medium,Medium,Medium,6.17
3098,4.5,4.5,7.5,Low,Low,Medium,5.5
3099,8.0,8.0,9.0,Medium,Medium,High,8.33
3100,6.0,9.0,8.0,Medium,High,Medium,7.67
3101,7.33,4.67,9.67,Medium,Low,High,7.22
3102,7.0,3.0,7.0,Medium,Low,Medium,5.67
3103,6.67,2.67,9.0,Medium,Low,High,6.11
3104,8.0,5.0,9.0,Medium,Low,High,7.33
3105,4.5,2.5,8.5,Low,Low,High,5.17
3106,6.0,5.0,8.5,Medium,Low,High,6.5
3107,8.0,4.67,6.0,Medium,Low,Medium,6.22
3108,8.5,1.5,6.0,High,Low,Medium,5.33
3109,9.0,3.0,8.0,High,Low,Medium,6.67
3110,4.0,7.5,9.0,Low,Medium,High,6.83
3111,6.33,6.67,8.33,Medium,Medium,High,7.11
3112,4.5,8.0,5.5,Low,Medium,Medium,6.0
3113,5.5,4.0,7.0,Medium,Low,Medium,5.5
3114,3.5,5.0,5.5,Low,Low,Medium,4.67
3115,5.5,6.0,9.5,Medium,Medium,High,7.0
3116,7.0,7.5,6.0,Medium,Medium,Medium,6.83
3117,8.0,9.0,9.0,Medium,High,High,8.67
3118,8.0,3.0,8.0,Medium,Low,Medium,6.33
3119,4.0,4.0,7.5,Low,Low,Medium,5.17
3120,9.0,2.0,5.0,High,Low,Low,5.33
3121,7.33,3.67,7.33,Medium,Low,Medium,6.11
3122,3.0,10.0,7.0,Low,High,Medium,6.67
3123,6.0,6.0,6.0,Medium,Medium,Medium,6.0
3124,6.0,7.0,7.0,Medium,Medium,Medium,6.67
3125,8.0,6.0,9.0,Medium,Medium,High,7.67
3126,8.0,3.0,10.0,Medium,Low,High,7.0
3127,6.5,6.0,7.0,Medium,Medium,Medium,6.5
3128,5.33,3.67,6.0,Medium,Low,Medium,5.0
3129,4.0,1.0,8.0,Low,Low,Medium,4.33
3130,5.67,6.0,8.0,Medium,Medium,Medium,6.56
3131,8.0,1.0,7.0,Medium,Low,Medium,5.33
3132,8.0,2.0,10.0,Medium,Low,High,6.67
3133,7.0,7.0,5.33,Medium,Medium,Medium,6.44
3134,4.0,6.0,2.0,Low,Medium,Low,4.0
3135,10.0,6.0,6.0,High,Medium,Medium,7.33
3136,5.0,5.5,10.0,Low,Medium,High,6.83
3137,2.0,5.0,7.0,Low,Low,Medium,4.67
3138,6.0,6.0,7.5,Medium,Medium,Medium,6.5
3139,8.0,3.0,5.0,Medium,Low,Low,5.33
3140,2.0,6.0,5.0,Low,Medium,Low,4.33
3141,5.0,5.0,8.0,Low,Low,Medium,6.0
3142,4.33,4.67,6.67,Low,Low,Medium,5.22
3143,4.0,5.0,7.0,Low,Low,Medium,5.33
3144,6.67,3.33,7.67,Medium,Low,Medium,5.89
3145,7.0,10.0,7.0,Medium,High,Medium,8.0
3146,4.0,3.0,9.0,Low,Low,High,5.33
3147,8.0,6.0,7.0,Medium,Medium,Medium,7.0
3148,4.0,8.0,7.0,Low,Medium,Medium,6.33
3149,3.0,4.0,1.0,Low,Low,Low,2.67
3150,8.5,4.5,8.0,High,Low,Medium,7.0
3151,9.0,9.0,7.0,High,High,Medium,8.33
3152,6.0,6.0,6.0,Medium,Medium,Medium,6.0
3153,1.0,4.0,8.0,Low,Low,Medium,4.33
3154,6.0,7.0,5.0,Medium,Medium,Low,6.0
3155,8.0,6.0,10.0,Medium,Medium,High,8.0
3156,6.0,3.5,9.0,Medium,Low,High,6.17
3157,6.0,4.0,8.67,Medium,Low,High,6.22
3158,5.0,7.0,10.0,Low,Medium,High,7.33
3159,7.0,6.0,9.0,Medium,Medium,High,7.33
3160,8.0,5.0,8.0,Medium,Low,Medium,7.0
3161,4.33,5.67,8.67,Low,Medium,High,6.22
3162,4.33,3.67,7.0,Low,Low,Medium,5.0
3163,7.0,3.0,6.0,Medium,Low,Medium,5.33
3164,4.0,6.0,6.0,Low,Medium,Medium,5.33
3165,8.0,3.0,9.0,Medium,Low,High,6.67
